word,drift_score
हसा,0.9114563465118408
आइसा,0.8893033862113953
नग,0.8824881315231323
तीक्ष्ण,0.879025936126709
ऊन,0.8778671622276306
ईसी,0.8753799200057983
इं,0.865829348564148
डायट,0.8643209934234619
निज,0.8614691495895386
मंझा,0.859716534614563
दलन,0.8593997955322266
औऱ,0.857606053352356
वोह,0.8557053804397583
सचाई,0.8520905375480652
अाज,0.8513005971908569
फेरी,0.8460861444473267
संस,0.8450320959091187
रबी,0.8401869535446167
समधन,0.8395711779594421
अर्बन,0.8380852937698364
अर्से,0.8379026651382446
किआ,0.8340765833854675
ग्वार,0.8324999809265137
मंसा,0.8324821591377258
डीप,0.8314741849899292
गौरतलब,0.8311543464660645
अखर,0.8295571804046631
चौकसी,0.8291817903518677
पेल,0.8274334073066711
खाका,0.827312707901001
माकन,0.8272848129272461
रिहायशी,0.8270972967147827
हैः,0.8228635787963867
नफे,0.8227460384368896
भड,0.822694718837738
सयम,0.8222569227218628
खच,0.8217371106147766
संवाद,0.8199279308319092
नन,0.8191274404525757
भोक्ता,0.8187554478645325
हैम,0.8173856139183044
पीडी,0.8172609210014343
एकदिन,0.8159546852111816
जरीए,0.8142803907394409
खंड,0.8137563467025757
सेज,0.8133640885353088
माझा,0.8128662705421448
क्षय,0.812759280204773
बीना,0.8125763535499573
अरबन,0.812507688999176
चोक,0.812423825263977
जोह,0.8123953938484192
कोरट,0.8123824596405029
कूच,0.8099000453948975
बहल,0.8089965581893921
भू,0.8073469400405884
ऊनी,0.8073208332061768
सहयोगी,0.8068821430206299
काउके,0.8063596487045288
सौख,0.8062953352928162
भरणे,0.8062233924865723
फरक,0.8061230182647705
सुरसा,0.8051653504371643
परती,0.8050262928009033
ः,0.80479496717453
तिस,0.8047574758529663
इच,0.8045018315315247
नान,0.8041163682937622
एक्का,0.8036208748817444
कव,0.8036088943481445
जगरूप,0.8029544353485107
रग,0.802375316619873
अाप,0.8007238507270813
डंप,0.8007052540779114
पुंछ,0.8003622889518738
लास,0.800276517868042
धा,0.7998412251472473
माती,0.7991464734077454
नैन,0.7987934350967407
सिधा,0.7983887195587158
फड,0.7979481220245361
कोसी,0.7975905537605286
बेड़े,0.7965080738067627
सई,0.7955923676490784
रक,0.7945845723152161
बि,0.7939415574073792
नैक,0.7937334775924683
टूलकिट,0.7933955788612366
नपा,0.7932190895080566
वाकी,0.792661190032959
परवान,0.7924932241439819
जायद,0.7923243045806885
मवेशी,0.7917621731758118
वोहरा,0.7915098667144775
निम,0.7914820909500122
लल्लन,0.7907589673995972
आमी,0.7904111742973328
आैर,0.7901630997657776
पापुलर,0.7899014949798584
केबल,0.7898450493812561
सग,0.7897588610649109
टिक्कू,0.7887839078903198
कांके,0.7883284091949463
माले,0.7882079482078552
नत्थू,0.7867615222930908
छका,0.7862303256988525
लू,0.7861498594284058
ऐरा,0.7861412763595581
फाटक,0.7854441404342651
भाष्कर,0.7852362394332886
इए,0.7850849628448486
जीए,0.7847445011138916
़,0.7845374345779419
झाम,0.7843546867370605
मूव,0.7842575907707214
गाबा,0.7837210893630981
वाया,0.7835997343063354
हामी,0.7831451892852783
एसी,0.7829919457435608
भेल,0.7829158902168274
वीवी,0.7827379107475281
पैट,0.7826774716377258
अंबाला,0.7825444936752319
अतिशय,0.7824136018753052
पीच,0.781848669052124
मिस्त्री,0.7816007733345032
भंडारी,0.7813251614570618
अविनाश,0.78116774559021
चोथे,0.7810061573982239
क्षुब्ध,0.7806364893913269
शिकागो,0.7801064848899841
हीला,0.7800935506820679
सनद,0.7798196077346802
नायब,0.779679000377655
यार्ड,0.779639482498169
बुड्ढा,0.7794677019119263
गोदी,0.7788754105567932
अोर,0.7784550189971924
किरपा,0.7782055139541626
केए,0.7781466841697693
पड़ाव,0.7775055170059204
बलवा,0.7774085998535156
लूप,0.7771083116531372
जामताड़ा,0.7766760587692261
पूँछ,0.7766349911689758
खड्डा,0.7765498161315918
जूरी,0.7761363387107849
डग,0.7760609984397888
संडास,0.7757927179336548
इंद्रधनुष,0.7752953767776489
बाह,0.7749373912811279
स्वपन,0.7749225497245789
मिमी,0.7744518518447876
न्यूट्रल,0.7744068503379822
फ्लैग,0.7743598222732544
एमएम,0.7743288278579712
धावा,0.774206817150116
लिंच,0.7741795778274536
छाता,0.7741554975509644
कूवत,0.7741160988807678
सूने,0.7741045355796814
लीसा,0.7739603519439697
समाना,0.7739558219909668
बीडीओ,0.773851752281189
दरम्यान,0.7737399339675903
दाब,0.7735475301742554
चुग,0.7733755111694336
सियोल,0.7732229232788086
धर्मशाला,0.7728302478790283
परसन,0.772654116153717
औऱ,0.7726280093193054
वोल,0.7723544836044312
बेहन,0.7721804976463318
हजूरी,0.7719703912734985
सूरा,0.771724283695221
मगध,0.77167809009552
जीडी,0.7715815901756287
एकाद,0.771412193775177
घाघ,0.77139812707901
तैल,0.7710773944854736
अपर,0.7710685729980469
निल,0.7710329294204712
झटपट,0.7703170776367188
मुखी,0.7701301574707031
कमबख्त,0.7700127363204956
चैम्बर,0.7699630260467529
कड़क,0.7699029445648193
बेहरा,0.769646942615509
माइनर,0.7696259617805481
विदित,0.7696215510368347
भकत,0.7695534229278564
ट्रामा,0.7694830894470215
कया,0.7694613933563232
गर्ग,0.7694323062896729
बूक,0.7694268226623535
टस,0.7692747116088867
असं,0.7689977884292603
इंका,0.7689974308013916
इसीको,0.7688049674034119
समधी,0.7684112191200256
पराग,0.7677059173583984
एसे,0.767688512802124
समर,0.7676201462745667
पंडाल,0.7672775983810425
रीगन,0.7670899629592896
बल्की,0.7668723464012146
रेकी,0.7668276429176331
होरहा,0.7668250799179077
कोन,0.7667955160140991
ज्ञापन,0.7667742967605591
अप,0.7664005756378174
रिग,0.766281247138977
शबद,0.766044557094574
कुटा,0.7655777335166931
जर्जर,0.7651751041412354
इतंजार,0.7650610208511353
तौल,0.7648900747299194
धर,0.7648077011108398
डिपो,0.7647950649261475
हंडिया,0.7644931077957153
मॉग,0.7643818855285645
पलीता,0.7642590999603271
आशू,0.7641890048980713
लील,0.7641810178756714
रेफरी,0.7636507749557495
बैहन,0.7636381387710571
जीओ,0.7635100483894348
मस,0.7634432315826416
पीआर,0.7634367346763611
गश्त,0.7629302740097046
कुंद,0.7624635696411133
बु,0.7623191475868225
चूने,0.7620567083358765
इंदू,0.7618030309677124
अखरी,0.7614518404006958
खुशाल,0.7610359787940979
कीस,0.7604873180389404
केे,0.7603190541267395
अंचल,0.7601486444473267
बोर,0.7600164413452148
तिसरी,0.7600078582763672
लिब्रा,0.759662389755249
रतिया,0.7595726847648621
अतः,0.759518027305603
अवर,0.7592868804931641
वाच,0.7591907978057861
भूतल,0.7589918375015259
बावली,0.7589037418365479
इंचार्ज,0.7588092088699341
नकलची,0.7586814165115356
शाल,0.7582966089248657
हात,0.7581280469894409
मोहलत,0.7576425075531006
गजवा,0.7576195001602173
रेह,0.7574582099914551
पन्नू,0.757384717464447
थोरा,0.7573093175888062
नाड़ा,0.7567817568778992
बेली,0.7563225626945496
डिस्कस,0.7561111450195312
टिन,0.7560323476791382
याक,0.7558900713920593
जेसी,0.7557196617126465
हथिनी,0.7556639313697815
लकी,0.7556096315383911
फेकू,0.7555408477783203
संवाददाता,0.7554837465286255
गरबा,0.7552661299705505
बतर,0.7552364468574524
हंम,0.7551896572113037
क्रेन,0.7550743222236633
